Symbol,Name,cash_ratio,return_to_equity,price_to_book,pe,short_interest_ratio,debt_to_equity,eps,last_price,previous_year_price
DO,"Diamond Offshore Drilling, Inc.",2.2032,0.368750006,0.681331068,6.8422,14.022,52.1913,0.14,20.61,17.07
DRH,Diamondrock Hospitality Company,null,4.799499649,1.346096544,22.9872,3.701,51.5804,0.02,12.17,11.16
DSX,Diana Shipping inc.,null,-59.78506828,0.844880728,null,6.408,94.3872,-0.04,5.02,4.14
DSX^B,Diana Shipping inc.,null,null,null,null,null,null,null,null,
DSXN,Diana Shipping inc.,null,null,null,null,null,null,null,null,
DKS,Dick&#39;s Sporting Goods Inc,0.0716,16.86090353,1.890719639,13.697,2.098,18.1251,0.59,36.675,30.06
DBD,Diebold Nixdorf Incorporated,0.0872,-51.08333333,2.246271023,43.4656,12.248,419.0911,-0.94,12.075,18.5
DLR,"Digital Realty Trust, Inc.",0.0696,2.980380778,2.469554887,75.4515,5.806,101.7815,0.42,109.75,114.9
DLR^C,"Digital Realty Trust, Inc.",0.0711,null,null,null,null,null,null,null,
DLR^G,"Digital Realty Trust, Inc.",0.0797,null,null,null,null,null,null,null,
DLR^H,"Digital Realty Trust, Inc.",null,null,null,null,null,null,null,null,
DLR^I,"Digital Realty Trust, Inc.",null,null,null,null,null,null,null,null,
DLR^J,"Digital Realty Trust, Inc.",null,null,null,null,null,null,null,null,
DDS,"Dillard&#39;s, Inc.",0.244,13.97225439,1.538268555,11.609,8.946,43.4059,2.89,96.56,57.1
DDT,"Dillard&#39;s, Inc.",0.1203,null,null,null,null,null,null,null,
DIN,"Dine Brands Global, Inc.",0.0752,null,null,8.9196,7.989,null,0.93,82.36,50.72
DPLO,"Diplomat Pharmacy, Inc.",0.1799,1.554740519,2.752577623,53.299,12.538,79.1008,-0.01,27.61,19.87
DFS,Discover Financial Services,0.1284,20.25630032,2.46104084,10.8817,2.264,254.7714,1.82,71.39,75.09
DHCP,Ditech Holding Corporation,null,null,null,null,3.143,11515.1042,null,5.2103,
DNI,Dividend and Income Fund,null,null,null,null,0.06,null,null,12.425,13.7975
DLB,Dolby Laboratories,3.5593,4.151315788,2.989002036,24.9846,4.546,0,0.68,62.77,61.3
DG,Dollar General Corporation,3.8041,27.61233363,4.288166785,21.4707,1.318,45.9307,1.36,99.87,91.23
DM,"Dominion Energy Midstream Partners, LP",4.4383,6.420129893,0.486862542,19.2357,1.558,null,0.39,13.975,30.95
D,"Dominion Energy, Inc.",0.077,17.60412194,2.480728023,19.5433,7.647,211.6343,0.77,67.85,83.43
DCUD,"Dominion Energy, Inc.",0.0902,null,null,null,null,null,null,null,
DRUA,"Dominion Energy, Inc.",0.1124,null,null,null,null,null,null,null,
DPZ,Domino&#39;s Pizza Inc,0.1159,null,null,42.0315,5.033,null,null,283.677,180.61
UFS,Domtar Corporation,0.2132,-8.651989185,1.181770197,13.7438,2.915,44.284,0.86,47.89,48.24
DCI,"Donaldson Company, Inc.",0.8422,17.93298147,6.987348683,27.7771,9.454,83.2031,0.54,45.85,48.51
DFIN,"Donnelley Financial Solutions, Inc.",0.8326,5.66235582,3.578218351,14.7454,2.308,296.2871,0.23,17.41,19.83
LPG,Dorian LPG Ltd.,0.7978,-2.108145814,0.474151689,null,5.035,null,-0.06,8.03,7.87
DSL,DoubleLine Income Solutions Fund,0.5511,null,null,null,0.859,null,null,20.1,20.16
DBL,DoubleLine Opportunistic Credit Fund,0.3485,null,null,null,0.296,null,null,20.8813,22.69
PLOW,"Douglas Dynamics, Inc.",0.3897,24.47295248,4.18244131,25.5634,1.758,110.2817,-0.08,47.95,37.25
DEI,"Douglas Emmett, Inc.",null,4.792588696,2.763903627,76.6241,2.623,166.6997,0.17,39.97,40.57
DOV,Dover Corporation,0.1765,18.35574721,2.532603145,19.1986,6.405,77.7901,0.85,73.8,97.19
DDE,Dover Downs Gaming & Entertainment Inc,0.325,-1.00856145,0.480138587,55,0.101,17.0943,-0.01,1.7,1.0101
DVD,"Dover Motorsports, Inc.",0.0447,17.95831204,1.38398055,19.1395,0.88,0.861,-0.03,2.25,2.1
DWDP,DowDuPont Inc.,0.3959,null,1.500814969,26.9458,2.431,34.0322,0.47,67.31,70.79
DPS,"Dr Pepper Snapple Group, Inc",0.008,45.22333832,8.857974651,20.1195,9.018,181.7377,0.88,119.91,94.16
RDY,Dr. Reddy&#39;s Laboratories Ltd,0.2134,7.829016702,null,null,1.859,null,null,32.97,35.3
DRD,DRDGOLD Limited,0.2387,5.426092228,null,null,1.802,null,null,2.72,2.94
DCF,Dreyfus Alcentra,null,null,null,null,0.117,null,null,9.15,9.92
DHF,Dreyfus High Yield Strategies Fund,null,null,null,null,0.192,null,null,3.1401,3.29
DMB,"Dreyfus Municipal Bond Infrastructure Fund, Inc.",null,null,null,null,0.067,null,null,12.4398,13.25
DSM,"Dreyfus Strategic Municipal Bond Fund, Inc.",null,null,null,null,0.666,null,null,7.555,8.49
LEO,"Dreyfus Strategic Municipals, Inc.",null,null,null,null,0.109,null,null,7.63,8.8
DRQ,"Dril-Quip, Inc.",5.6809,-8.089543808,1.456654121,79.7284,11.349,0.1533,-0.2,51.5,45.6
DS,Drive Shack Inc.,1.4931,-42.75219447,5.412193432,null,3.914,120.7951,-0.26,7.7302,5.45
DS^B,Drive Shack Inc.,null,null,null,null,null,null,null,null,
DS^C,Drive Shack Inc.,null,null,null,null,null,null,null,null,
DS^D,Drive Shack Inc.,null,null,null,null,null,null,null,null,
DSW,DSW Inc.,0.7266,7.201299369,2.143909478,13.4069,3.167,0,0.3,26.41,21.06
DTE,DTE Energy Company,0.9445,11.4767844,1.872829907,18.7438,4.277,130.7241,2.01,103.49,114.01
DTJ,DTE Energy Company,0.9799,null,null,null,null,null,null,null,
DTQ,DTE Energy Company,0.9261,null,null,null,null,null,null,null,
DTV,DTE Energy Company,0.8263,null,null,null,null,null,null,null,
DTW,DTE Energy Company,null,null,null,null,null,null,null,null,
DTY,DTE Energy Company,null,null,null,null,null,null,null,null,
DCO,Ducommun Incorporated,0.0174,8.90922444,1.531994247,23.4152,3.282,84.7974,0.23,34.3897,26.94
DPG,Duff & Phelps Global Utility Income Fund Inc.,null,null,null,null,0.123,null,null,14.27,15.97
DSE,Duff & Phelps Select Energy MLP Fund Inc.,null,null,null,null,0.992,null,null,5.56,5.72
DNP,"Duff & Phelps Utilities Income, Inc.",null,null,null,null,5.035,null,null,10.99,11.29
DTF,"Duff & Phelps Utilities Tax-Free Income, Inc.",null,null,null,null,0.116,null,null,13.33,14.21
DUC,"Duff & Phelps Utility & Corporate Bond Trust, Inc.",null,null,null,null,0.038,null,null,8.5299,8.92
DUK,Duke Energy Corporation,0.0324,7.142254523,1.315381382,19.1634,6.331,133.8773,0.88,78.81,87.13
DUKH,Duke Energy Corporation,null,null,null,null,null,null,null,null,
DRE,Duke Realty Corporation,null,40.92623826,2.263347767,47.88,2.775,55.0668,0.2,29.175,27.81
DNB,Dun & Bradstreet Corporation (The),0.2092,null,null,16.1788,1.731,null,1.73,125.96,120.92
DXC,DXC Technology Company,0.2523,13.8402561,1.680687451,13.1452,1.759,62.1265,1.96,79.44,94.79
DY,"Dycom Industries, Inc.",0.3111,null,3.972931832,18.4039,3.152,101.8245,0.55,97.7659,110.18
DLNG,Dynagas LNG Partners LP,0.283,2.884103464,1.235609772,14.5921,2.701,306.1232,0.1364,8.24,11.36
DLNG^A,Dynagas LNG Partners LP,0.3036,null,null,null,null,null,null,null,
DX,"Dynex Capital, Inc.",0.2688,15.10457667,0.925726356,9.3214,1.874,661.5783,0.74,6.46,7.18
DX^A,"Dynex Capital, Inc.",null,null,null,null,null,null,null,null,
DX^B,"Dynex Capital, Inc.",null,null,null,null,null,null,null,null,
DD^A,E.I. du Pont de Nemours and Company,null,null,null,null,null,null,null,null,
DD^B,E.I. du Pont de Nemours and Company,null,null,null,null,null,null,null,null,
ELF,"e.l.f. Beauty, Inc.",0.3028,18.39378387,4.291813871,52.4103,14.511,77.822,0.01,16.98,20.91
EGIF,Eagle Growth and Income Opportunities Fund,null,null,null,null,0.044,null,null,15.3799,16.605
EXP,Eagle Materials Inc,0.0286,19.58170872,3.63885907,21.4076,4.669,43.7982,0.77,106.83,112.25
ECC           ,Eagle Point Credit Company Inc.,0.051,null,null,null,0.253,null,0.3801,18.1248,18.49
ECCA,Eagle Point Credit Company Inc.,0.1403,null,null,null,null,null,null,#N/A Real Time,
ECCB,Eagle Point Credit Company Inc.,0.1241,null,null,null,null,null,null,#N/A Real Time,
ECCX,Eagle Point Credit Company Inc.,0.0519,null,null,null,null,null,null,null,
ECCY,Eagle Point Credit Company Inc.,null,null,null,null,null,null,null,null,
ESTE,"Earthstone Energy, Inc.",0.1699,-2.978895417,1.851734215,15.5795,3.506,10.403,0.19,8.72,9.78
DEA,"Easterly Government Properties, Inc.",null,0.727645502,1.319578338,209.5,6.961,87.046,0.03,19.43,21.67
EGP,"EastGroup Properties, Inc.",null,13.72552279,4.258614836,48.375,4.961,143.7805,0.83,95.705,90.75
EMN,Eastman Chemical Company,0.0956,27.38328756,2.575259921,11.5781,5.179,123.9495,2.03,101.17,93.02
KODK,Eastman Kodak Company,0.747,null,null,8.5403,11.751,null,-0.7,4.125,3.35
KODK.WS,Eastman Kodak Company,null,null,null,null,null,null,null,null,
KODK.WS.A,Eastman Kodak Company,null,null,null,null,null,null,null,null,
ETN,"Eaton Corporation, PLC",0.1533,18.72917952,1.917857997,16.9294,5.498,45.6294,1.11,76.52,77.76
ETV,Eaton Vance Corporation,null,null,null,null,0.398,null,null,15.52,15.36
ETW,Eaton Vance Corporation,null,null,null,null,4.188,null,null,11.8688,11.9
EV,Eaton Vance Corporation,null,34.47523192,5.771447814,21.5845,3.177,56.6843,0.84,52.75,56.61
EOI,Eaton Vance Enhance Equity Income Fund,null,null,null,null,2.469,null,null,15.59,14.29
EOS,Eaton Vance Enhanced Equity Income Fund II,null,null,null,null,2.218,null,null,17.1,15.085
EFT,Eaton Vance Floating Rate Income Trust,null,null,null,null,0.605,null,null,14.61,14.44
EFL,Eaton Vance Floating-Rate 2022 Target Term Trust,null,null,null,null,0.433,null,null,9.3774,9.2801
EFF,Eaton vance Floating-Rate Income Plus Fund,null,null,null,null,0.656,null,null,16.74,16.33
EHT,Eaton Vance High Income 2021 Target Term Trust,null,null,null,null,0.014,null,null,9.79,10.031
ETX           ,Eaton Vance Municipal Income 2028 Term Trust,null,null,null,null,0.228,null,null,19.82,20.26
EOT,Eaton Vance Municipal Income Trust,null,null,null,null,0.2,null,null,20.39,22.92
EVN,Eaton Vance Municipal Income Trust,null,null,null,null,0.673,null,null,11.91,12.27
ETJ,Eaton Vance Risk-Managed Diversified Equity Income Fund,null,null,null,null,0.431,null,null,9.59,9.28
EFR,Eaton Vance Senior Floating-Rate Fund,null,null,null,null,0.534,null,null,14.54,14.44
EVF,Eaton Vance Senior Income Trust,null,null,null,null,0.093,null,null,6.45,6.47
EVG,Eaton Vance Short Diversified Income Fund,null,null,null,null,0.031,null,null,12.933,14.06
EVT,Eaton Vance Tax Advantaged Dividend Income Fund,null,null,null,null,0.98,null,null,23.205,22.81
ETO,Eaton Vance Tax-Advantage Global Dividend Opp,null,null,null,null,1.06,null,null,24.39,24.96
EXD,Eaton Vance Tax-Advantaged Bond,null,null,null,null,0.232,null,null,9.06,10.89
ETG,Eaton Vance Tax-Advantaged Global Dividend Income Fund,null,null,null,null,0.545,null,null,17.1,17.39
ETB,Eaton Vance Tax-Managed Buy-Write Income Fund,null,null,null,null,0.271,null,null,16.13,16.8
ETY,Eaton Vance Tax-Managed Diversified Equity Income Fund,null,null,null,null,1.986,null,null,12.23,12.2
EXG,Eaton Vance Tax-Managed Global Diversified Equity Income Fund,null,null,null,null,2.564,null,null,9.325,9.38
ECT,ECA Marcellus Trust I,null,10.07957341,0.697590779,6.3475,0.365,0,0.059,2,2.1
ECR,Eclipse Resources Corporation,0.1375,-3.36655208,0.765106125,null,2.237,84.8721,-0.01,1.765,2.3
ECL,Ecolab Inc.,0.0441,20.8488314,5.251906801,29.6139,7.114,97.5595,0.86,140.15,134.85
EC,Ecopetrol S.A.,null,18.55906919,null,null,7.007,null,null,20.08,12.62
EIX,Edison International,0.0226,3.545711037,1.719311562,18.2098,3.76,118.9808,0.67,62.4354,68.58
EDR,Education Realty Trust Inc.,null,3.964460835,1.691421565,85.8442,7.844,52.6058,0.53,41.38,36.1
EW,Edwards Lifesciences Corporation,1.1406,18.70282546,9.719971069,33.5778,4.482,32.4922,0.98,148.91,115.57
EHIC,eHi Car Services Limited,null,2.412179902,1.465764131,50.8547,3.443,null,null,13.13,11.41
EP^C,El Paso Corporation,null,null,null,null,null,null,null,null,
EE,El Paso Electric Company,0.0071,8.6920069,2.123302306,18.6643,6.232,127.6469,-0.17,58.4,58.1
EGO,Eldorado Gold Corporation,4.4617,-0.141346237,null,null,6.142,16.342,null,1.03,1.21
ELVT,"Elevate Credit, Inc.",2.4894,1.399459752,1.303467888,57.9266,4.865,477.7788,0.55,8.51,7.34
LLY,Eli Lilly and Company,0.4148,7.872400028,6.392883877,24.1023,3.515,80.5239,1.16,85.39,86.71
ELLI,"Ellie Mae, Inc.",3.6572,6.275861783,4.828087399,96.5781,14.957,0,0.06,106.6,91.15
EFC,Ellington Financial LLC,null,6.458307095,0.80760987,15.4243,0.459,372.5221,0.67,15.7224,14.8
EARN,Ellington Residential Mortgage REIT,null,3.004047896,0.831631923,33.9479,10.613,24.8873,-0.3,11.47,12.83
AKO.A,Embotelladora Andina S.A.,null,null,null,null,null,null,null,null,
AKO.B,Embotelladora Andina S.A.,null,null,null,null,null,null,null,null,
ERJ,Embraer S.A.,1.0813,4.793305116,null,null,3.026,102.7881,null,25.08,20.09
EME,"EMCOR Group, Inc.",0.2331,14.26305482,2.648197628,19.1646,1.448,18.1544,0.95,78.14,81.09
EEX,"Emerald Expositions Events, Inc.",0.1189,13.54929226,1.871360714,25.7234,2.087,69.3021,0.52,20.51,20.64
EMES,Emerge Energy Services LP,0.1887,12.02810006,3.860593423,18.1832,4.191,357.8192,0.05,7.3899,7.21
EBS,"Emergent Biosolutions, Inc.",1.8833,9.009994644,2.873969581,20.3846,7.12,1.5283,-0.1,52.61,45.48
EMR,Emerson Electric Company,0.5,21.71172263,5.152232506,22.6404,3.448,61.1163,0.76,69.935,66.67
ESRT,"Empire State Realty Trust, Inc.",0.4111,5.443028249,2.425854423,90.4558,2.222,165.9986,0.06,17.05,20.47
EIG,Employers Holdings Inc,null,11.52519746,1.43640465,13.351,4.578,2.1498,0.78,41.05,47
EDN,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor),null,104.8655534,null,null,0.672,null,null,38.3,48.79
ENBL,"Enable Midstream Partners, LP",0.0214,5.387488993,1.01919145,17.9103,2.239,50.2781,0.24,17.36,14.75
EEQ,Enbridge Energy Management LLC,null,-3144.444444,890.1669281,null,2.414,0,-0.0193,9.51,13.63
EEP,"Enbridge Energy, L.P.",0.0151,9.460961063,2.424016124,20.2179,2.793,388.0718,0.15,10.01,14.49
ENB,Enbridge Inc,0.0478,4.400572677,null,null,6.397,123.5857,null,32.13,38.37
ENBA,Enbridge Inc,null,null,null,null,null,null,null,null,
ECA,Encana Corporation,0.257,8.224945493,1.766725693,11.8245,1.343,62.8394,0.16,13.465,11.75
EHC,Encompass Health Corporation,0.151,27.65214752,5.474031721,17.2717,3.594,215.2966,0.85,67.74,49.37
EXK,Endeavour Silver Corporation,1.8691,4.133154834,null,null,5.87,0,null,3.185,2.08
NDRO,Enduro Royalty Trust,null,46.0601939,1.29110741,10.0832,0.122,0,0.0719,3.725,3
ENIA,Enel Americas S.A.,0.2268,12.95755095,null,null,1.386,78.7495,null,9.05,9.89
ENIC,Enel Chile S.A.,2.0652,10.20443885,null,null,0.596,55.7365,null,4.97,5.15
EOCC,Enel Generacion Chile S.A.,0.6249,17.20839479,null,null,1.598,37.9416,null,20.36,24.51
EGN,Energen Corporation,0.0016,11.69523704,1.794131771,83.9981,1.78,21.2657,1.22,70.68,54.64
ENR,"Energizer Holdings, Inc.",0.8307,228.161435,82.11309315,16.5879,9.308,2525.0559,0.13,63.2,48.33
EPC,"Energizer Holdings, Inc.",0.8877,-1.212053509,1.531469822,19.202,11.068,82.3533,1.21,49.8,59.65
ETE,"Energy Transfer Equity, L.P.",0.0753,null,null,8.8403,5.213,null,0.31,17.125,16.33
ETP,"Energy Transfer Partners, L.P.",0.0717,6.896736653,0.787499981,1229.2237,1.736,119.6936,0.24,19.0958,16.72
ETP^C,"Energy Transfer Partners, L.P.",null,null,null,null,null,null,null,null,
ERF,Enerplus Corporation,1.123,11.91373927,2.290786103,23.8115,2.762,41.2703,0.0949,12.69,8.9
ENS,Enersys,1.0704,10.40184313,2.68525221,15.3443,1.916,50.0153,1.29,77.45,68.07
EGL,"Engility Holdings, Inc.",1.1627,-5.17854989,1.623589884,35.576,4.714,140.5251,0.18,29.99,27.78
E,ENI S.p.A.,1.1955,6.626375146,null,null,0.596,49.0608,null,37.02,33.07
ENLK,"EnLink Midstream Partners, LP",1.2691,1.573812787,1.82466689,227.8033,4.126,133.153,0.06,15.21,15.68
ENLC,"EnLink Midstream, LLC",1.0622,12.19656284,1.544345741,955.7649,9.951,207.4445,0.07,16.4,16.9
EBF,"Ennis, Inc.",2.6851,13.27672594,1.934419735,17.0201,11.043,11.4633,0.37,20.2,19.35
ENVA,"Enova International, Inc.",2.8657,15.07681912,3.780565152,12.4709,2.902,239.0152,0.83,35.5,15.15
NPO,EnPro Industries,3.1893,86.43343359,1.649138163,49.993,3.16,67.3399,0.59,72.48,88.14
ESV,ENSCO plc,3.4419,-4.97775769,0.313354582,25.8644,5.867,58.035,-0.32,7.115,5.73
ETM,Entercom Communications Corp.,3.2542,21.65668364,0.633537621,10.8505,8.567,107.7255,-0.1,7.8,10.8
EAB,"Entergy Arkansas, Inc.",null,null,null,null,null,null,null,null,
EAE,"Entergy Arkansas, Inc.",null,null,null,null,null,null,null,null,
EAI,"Entergy Arkansas, Inc.",null,null,null,null,null,null,null,null,
ETR,Entergy Corporation,0.2304,5.760518938,1.828862794,11.0968,3.208,221.6921,0.73,81.11,83.26
ELC,"Entergy Louisiana, Inc.",null,null,null,null,null,null,null,null,
ELJ,"Entergy Louisiana, Inc.",null,null,null,null,null,null,null,null,
ELU,"Entergy Louisiana, Inc.",null,null,null,null,null,null,null,null,
EMP,"Entergy Mississippi, Inc.",null,null,null,null,null,null,null,null,
ENJ,"Entergy New Orleans, LLC",null,null,null,null,null,null,null,null,
ENO,"Entergy New Orleans, LLC",null,null,null,null,null,null,null,null,
EZT,Entergy Texas Inc,null,null,null,null,null,null,null,null,
EPD,Enterprise Products Partners L.P.,0.0116,12.96770977,2.61581504,21.1512,2.496,111.6023,0.41,27.7337,25.73
EVC,Entravision Communications Corporation,4.8491,65.11223504,1.320020035,31.5474,4.948,86.623,-0.02,4.975,7.5
ENV,"Envestnet, Inc",0.2777,4.175676493,5.563700126,359.7434,3.194,92.5478,0.18,56.5,49.65
EVHC,Envision Healthcare Corporation,0.6862,2.046141607,0.834679353,27.6481,9.081,71.6299,-0.72,44.405,33.4
EVA,"Enviva Partners, LP",0.0569,-0.554659158,4.452475919,27.5681,1.588,287.9398,-0.734,29,27.4
ENZ,"Enzo Biochem, Inc.",3.421,-5.10229163,2.899198987,null,8.557,0,-0.06,5.31,8.72
EOG,"EOG Resources, Inc.",3.2443,20.75247482,4.008572061,209.1196,3.569,38.2097,1.11,124.5,100.28
EPE,EP Energy Corporation,3.351,-26.70807453,1.87331704,19.6053,5.442,1006.0976,0.07,3.46,1.75
EPAM,"EPAM Systems, Inc.",2.9785,12.01163744,6.015895591,40.2901,2.078,2.3713,1.21,122.57,104.57
EPR,EPR Properties,null,9.539532383,1.945786731,23.2,6.016,125.0358,0.32,65.95,67.5
EPR^C,EPR Properties,null,null,null,null,null,null,null,null,
EPR^E,EPR Properties,null,null,null,null,null,null,null,null,
EPR^G,EPR Properties,null,null,null,null,null,null,null,null,
EQT,EQT Corporation,0.1898,-2.722841235,1.214813809,99.0362,3.391,63.6448,-5.99,56.11,55.99
EQGP,"EQT GP Holdings, LP",0.0561,null,null,26.158,9.377,null,0.3,23.72,25.87
EQM,"EQT Midstream Partners, LP",0.0547,20.65533447,1.967634305,13.751,3.071,59.2151,1.61,52.2,71.06
EFX,"Equifax, Inc.",0.162,17.03446485,4.581737609,28.2611,3.974,80.2547,0.76,125.27,118.22
EQNR,Equinor ASA,null,12.15265942,null,null,3.773,null,null,26.5495,20.77
EQC,Equity Commonwealth,null,5.759398312,1.172356993,224.2518,4.809,20.7031,1.5,31.6099,30.41
EQC^D,Equity Commonwealth,null,null,null,null,null,null,null,null,
ELS,"Equity Lifestyle Properties, Inc.",null,19.97213546,7.850331528,42.9552,3.258,216.7024,0.68,91.5,91.42
EQR,Equity Residential,null,6.52289488,2.286802446,58.6385,3.89,84.4671,0.57,63.3,66.3
EQS,"Equus Total Return, Inc.",null,2.427906757,0.746833597,17.2896,0,43.902,0,2.37,2.39
ERA,"Era Group, Inc.",0.5639,-5.215789988,0.653516423,null,2.365,42.7999,-0.06,13.81,9.49
EROS,Eros International PLC,0.3552,0.492623912,1.029812779,178.9062,27.36,null,null,14,9.9
ESE,ESCO Technologies Inc.,0.3713,11.30441016,2.041983435,29.7651,2.606,36.8293,0.39,58.475,61.75
ESNT,Essent Group Ltd.,0.4281,24.89511573,1.779837755,13.2386,2.434,13.216,1.14,35.93,46.44
EPRT,"Essential Properties Realty Trust, Inc.",0.6109,null,0.010639889,null,null,315.8447,null,13.705,
ESS,"Essex Property Trust, Inc.",null,5.462180417,2.433848734,64.3588,4.333,89.797,1.38,235.29,249.15
EL,"Estee Lauder Companies, Inc. (The)",0.6167,26.07021518,11.39795139,26.8435,5.163,77.6693,1.01,149.22,124.95
ESL,Esterline Technologies Corporation,0.5808,3.202973853,1.183347662,19.6625,5.007,43.5734,0.81,74.25,70.9
ETH,Ethan Allen Interiors Inc.,0.7344,9.119229892,1.655409775,24.0096,12.375,0.4249,0.1,24.6,28.45
EURN,Euronav NV,0.745,-3.86413721,null,null,28.333,51.2252,null,9.525,8.35
EEA,"European Equity Fund, Inc. (The)",0.3312,null,null,null,0.937,null,null,9.34,9.83
EVR,Evercore Inc.,0.3278,25.27521352,7.995083147,16.0852,3.856,36.5342,2.36,109.3,90.15
RE,"Everest Re Group, Ltd.",null,4.613416106,1.140501882,8.5609,2.361,7.5915,5.14,230.15,219.82
EVRG,"Evergy, Inc.",null,null,null,null,2.265,null,0,55.29,55.65
EVRI,Everi Holdings Inc.,0.3407,null,null,null,2.661,null,0.07,7.23,7.63
ES,Eversource Energy,0.0742,9.078479946,1.611104078,19.6472,2.124,126.6358,0.85,57.74,64.21
EVTC,"Evertec, Inc.",0.3926,37.05062486,9.221709362,14.7719,1.982,342.0103,0.32,22.15,13.15
EVH,"Evolent Health, Inc",1.7131,-6.275489752,1.694324251,null,12.91,11.6593,-0.18,22.8,13
AQUA,Evoqua Water Technologies Corp.,0.3043,null,6.50420603,null,3.882,229.6303,0.11,20.98,23.61
XAN,Exantas Capital Corp.,0.268,-2.256829486,0.748993453,9.8983,11.479,284.1575,-0.4,10.25,9.65
XAN^C,Exantas Capital Corp.,null,null,null,null,null,null,null,null,
EXC,Exelon Corporation,0.0775,11.83911489,1.328227667,14.3904,5.207,119.5825,0.61,42.11,41.01
EXPR,"Express, Inc.",0.5697,3.851785004,1.219827115,11.8276,5.676,10.4508,0.01,10.26,10.87
STAY,"Extended Stay America, Inc.",0.5738,14.21723929,3.278475715,19.5604,2.128,190.6241,0.1618,21.88,17.2
EXTN,Exterran Corporation,0.5378,3.394199361,1.684415168,325.5701,1.654,70.1023,0.15,26.44,
EXR,Extra Space Storage Inc,0.8121,21.17169265,5.342357284,26.7059,13.261,192.6125,0.7,101.58,87.86
XOM,Exxon Mobil Corporation,0.6837,11.1401247,1.793985765,24.6613,2.674,21.5824,1.09,82.39,82.76
FNB,F.N.B. Corporation,null,5.951471924,1.023649143,15.2637,9.272,103.234,0.26,13.725,13.95
FNB^E,F.N.B. Corporation,null,null,null,null,null,null,null,null,
FN,Fabrinet,0.9165,12.82638306,1.782520605,16.1659,8.519,9.003,null,36.31,30.21
FDS,FactSet Research Systems Inc.,0.8775,44.96109724,13.26826467,24.115,13.573,93.8917,null,202.38,204.04
FICO,Fair Isaac Corporation,1.0085,31.29716071,15.37290819,38.53,2.801,189.8738,1.08,190.86,154.95
SFUN,Fang Holdings Limited,1.086,3.539051106,2.347590629,108.2444,3.595,null,null,3.98,4.29
FPAC.U,Far Point Acquisition Corporation,null,null,null,null,null,null,null,null,
FPI,Farmland Partners Inc.,null,0.223523486,0.952785311,72.7806,16.511,164.0842,-0.08,9.14,9.1
FPI^B,Farmland Partners Inc.,null,null,null,null,null,null,null,null,
FBK,FB Financial Corporation,null,13.09229693,2.040852398,26.9683,3.329,47.9511,0.65,40.69,43.05
FFG,"FBL Financial Group, Inc.",null,15.68139824,1.588375392,13.7463,6.83,7.6914,0.94,79.075,70.55
FCB,"FCB Financial Holdings, Inc.",null,10.70650071,2.165489004,16.1724,2.178,57.8097,0.89,60.5,51.3
AGM,Federal Agricultural Mortgage Corporation,null,15.17716514,1.855150699,15.9233,5.742,3267.087,2.12,92.89,71.19
AGM.A,Federal Agricultural Mortgage Corporation,null,null,null,null,null,null,null,null,
AGM^A,Federal Agricultural Mortgage Corporation,null,null,null,null,null,null,null,null,
AGM^B,Federal Agricultural Mortgage Corporation,null,null,null,null,null,null,null,null,
AGM^C,Federal Agricultural Mortgage Corporation,null,null,null,null,null,null,null,null,
FRT,Federal Realty Investment Trust,null,14.30543002,4.386418103,40.5749,6.366,159.4648,0.81,125.77,130.5
FRT^C,Federal Realty Investment Trust,null,null,null,null,null,null,null,null,
FSS,Federal Signal Corporation,0.2698,15.49100968,2.969993645,24.7583,1.771,56.8844,0.22,23.98,19.8
FII,"Federated Investors, Inc.",null,41.10669754,2.962349943,13.8928,11.142,20.6348,0.6,22.94,34.46
FMN,Federated Premier Municipal Income Fund,null,null,null,null,0.114,null,null,13.36,14.16
FDX,FedEx Corporation,0.5013,25.76573023,3.234905932,17.8351,4.179,93.0454,4.15,237.59,239.5
RACE,Ferrari N.V.,0.4497,81.66929718,25.27271651,28.8421,11.582,203.8115,0.78,138.44,106.65
FGP,"Ferrellgas Partners, L.P.",0.3365,null,null,null,15.388,null,0.11,3.315,4.26
FOE,Ferro Corporation,0.2935,17.75542357,4.557101608,14.7279,3.547,212.0867,0.28,20.865,23.41
FG,FGL Holdings,0.0301,-5.628439213,1.11689124,null,1.302,8.2217,0.21,8.445,9.45
FG.WS,FGL Holdings,null,null,null,null,null,null,null,null,
FCAU,Fiat Chrysler Automobiles N.V.,0.2493,18.69926556,1.451843287,4.6677,4.46,75.4635,0.66,19.41,17.78
FBR,Fibria Celulose S.A.,1.3189,9.37183189,null,null,0.662,124.482,null,18.84,14.42
FNF,"Fidelity National Financial, Inc.",null,12.42937853,2.255561002,14.1742,5.57,null,0.36,37.04,40.23
FIS,"Fidelity National Information Services, Inc.",0.19,13.38045452,3.352353434,33.8912,4.054,86.4793,0.55,106.39,94.24
FMO,Fiduciary/Claymore MLP Opportunity Fund,null,null,null,null,0.239,null,null,11.71,11.83
FAF,First American Corporation (The),null,13.4798778,1.598029565,14.0074,4.288,21.0761,0.68,50.74,56.11
FBP,First BanCorp.,null,3.962994702,0.89565143,14.3682,1.861,59.704,0.15,7.79,5.08
FCFS,"First Cash, Inc.",0.8101,10.50186483,2.856399304,22.8178,1.816,26.5677,0.9,90.95,68
